"","nrounds","rmses"
"1",500,0.363076691140024
"2",550,0.361436842078913
"3",600,0.360532033176834
"4",650,0.360078870321758
"5",700,0.35974357819975
"6",750,0.359496529934634
"7",800,0.359328850534959
"8",850,0.359151590670506
"9",900,0.359089432789714
"10",950,0.359094997818853
"11",1000,0.359094382751198
"12",1050,0.359104962710704
"13",1100,0.359024824476479
"14",1150,0.359007163989471
"15",1200,0.359029455556838
"16",1250,0.359005956718259
"17",1300,0.358985387385149
"18",1350,0.359017852816926
"19",1400,0.359018706949764
"20",1450,0.35904700213947
"21",1500,0.359160077142151
