"","X1","X2","X3"
"1",0.745,0.126,0.5
"2",0.502,0.378,0.372
"3",0.192,0.212,0.065
"4",0.018,0.172,0.169
"5",0.069,0.09,0.017
"6",0.02,0.058,0.017
"7",0.013,0.025,0.02
"8",0.025,0.005,0.009
"9",0,0.733,0.499
"10",0.34,0.681,0.5
"11",0.18,0.195,0.191
"12",0.196,0.189,0.265
"13",0.055,0.057,0.054
"14",0.048,0.058,0.056
"15",0.012,0.013,0.01
"16",0.015,0.012,0.013
"17",0.545,0,0
"18",0.44,0.551,0
"19",0.253,0.211,0.226
"20",0.231,0.212,0.232
"21",0.058,0.052,0.053
"22",0.059,0.058,0.052
"23",0.014,0.014,0.015
"24",0.014,0.013,0.015
