"","p20.tpr","p20.fpr","p50.tpr","p50.fpr","p100.tpr","p100.fpr"
"1",1,0.00591715976331361,1,0.0262919310970082,1,0.0332210998877666
"2",1,0.0236686390532544,1,0.0345454545454545,1,0.0410405920610002
"3",1,0.0406976744186047,1,0.0172727272727273,1,0.0444943820224719
"4",1,0.0173410404624277,1,0.0438356164383562,1,0.0375565610859728
"5",1,0.037037037037037,1,0.0171017101710171,1,0.0293790340529713
"6",1,0.0532544378698225,1,0.0133928571428571,1,0.038073908174692
"7",1,0.0285714285714286,1,0.0230292294065545,1,0.0314465408805031
"8",1,0.0338983050847458,1,0.0437556973564266,1,0.0387999097676517
"9",1,0.0228571428571429,1,0.0432822362488729,1,0.0305667112896029
"10",1,0.0227272727272727,1,0.0213713268032057,1,0.0347300022406453
"11",1,0.0172413793103448,1,0.0220848056537102,1,0.0355775726187796
"12",1,0.0426829268292683,1,0.0197841726618705,1,0.0374211000901713
"13",1,0.0532544378698225,1,0.0349586016559338,1,0.0453626768470694
"14",1,0.00602409638554217,1,0.0298372513562387,1,0.041834451901566
"15",1,0.0177514792899408,1,0.0216606498194946,1,0.0426200089726335
"16",1,0.0581395348837209,1,0.0180831826401447,1,0.0335345405767941
"17",1,0.0233918128654971,1,0.0291970802919708,1,0.0480072463768116
"18",1,0.0114942528735632,1,0.0162016201620162,1,0.0372030479605558
"19",1,0.0285714285714286,1,0.0315315315315315,1,0.0328565042467591
"20",1,0.0179640718562874,1,0.0418181818181818,1,0.0396594219135111
"21",1,0.029585798816568,1,0.0400728597449909,1,0.0452813270567137
"22",1,0.0119760479041916,1,0.0163636363636364,1,0.0302826379542396
"23",1,0.0175438596491228,1,0.0264598540145985,1,0.0400089907844459
"24",1,0.0303030303030303,1,0.0326086956521739,1,0.0537682789651294
"25",1,0.0229885057471264,1,0.03281677301732,1,0.0379860642841088
"26",1,0.0239520958083832,1,0.0200364298724954,1,0.0391757246376812
"27",1,0.0114285714285714,1,0.0233602875112309,1,0.0337457817772778
"28",1,0.0174418604651163,1,0.0497737556561086,1,0.0477252453166815
"29",1,0.0289017341040462,1,0.030713640469738,1,0.0347144456886898
"30",1,0.0116279069767442,1,0.0163934426229508,1,0.034881087202718
"31",1,0.0701754385964912,1,0.022583559168925,1,0.0236238020949409
"32",1,0.00581395348837209,1,0.0348943985307622,1,0.0408988764044944
"33",1,0.0424242424242424,1,0.0519598906107566,1,0.0327313769751693
"34",1,0.0114942528735632,1,0.0397830018083183,1,0.035883547731889
"35",1,0.00613496932515337,1,0.0242369838420108,1,0.0431151241534989
"36",1,0.0290697674418605,1,0.0225428313796213,1,0.0339325842696629
"37",1,0.0292397660818713,1,0.0278776978417266,1,0.0296829323139195
"38",1,0.0236686390532544,1,0.0438756855575868,1,0.0376428411382478
"39",1,0.0292397660818713,1,0.0276752767527675,1,0.0216276477146042
"40",1,0.0176470588235294,1,0.0180831826401447,1,0.0481307365122006
"41",1,0.0581395348837209,1,0.0328767123287671,1,0.0344594594594595
"42",1,0.0484848484848485,1,0.0311070448307411,1,0.0392640789768903
"43",1,0.028735632183908,1,0.0265811182401467,1,0.0374607447285778
"44",1,0.0172413793103448,1,0.0380779691749773,1,0.0318599955126767
"45",1,0,1,0.0235081374321881,1,0.0422092501122586
"46",1,0.0429447852760736,1,0.0310502283105023,1,0.03809738503156
"47",1,0.0388888888888889,1,0.0188679245283019,1,0.0343203230148048
"48",1,0.08125,1,0.0306582506762849,1,0.0302894323536011
"49",1,0.0414201183431953,1,0.0189530685920578,1,0.0336247478143914
"50",1,0.037037037037037,1,0.0450781968721251,1,0.0474477175624016
