"","X50.100","X50.1000","X50.10000"
"1",0.216,0.05,0.013
"2",0.208,0.042,0.012
"3",0.2,0.044,0.013
"4",0.187,0.048,0.012
"5",0.194,0.049,0.013
"6",0.204,0.046,0.013
"7",0.193,0.046,0.012
"8",0.216,0.049,0.012
"9",0.193,0.044,0.012
"10",0.186,0.047,0.013
"11",0.236,0.048,0.012
"12",0.22,0.047,0.012
"13",0.203,0.045,0.012
"14",0.19,0.042,0.012
"15",0.225,0.047,0.013
"16",0.212,0.048,0.012
"17",0.207,0.05,0.011
"18",0.228,0.047,0.011
"19",0.2,0.045,0.012
"20",0.189,0.042,0.011
"21",0.222,0.047,0.012
"22",0.21,0.048,0.011
"23",0.224,0.049,0.012
"24",0.185,0.048,0.013
"25",0.187,0.045,0.012
