"","X5.10","X5.100","X5.1000","X5.10000"
"1",0.33,0.093,0.066,0.014
"2",0.5,0.28,0.05,0.016
"3",0.5,0.005,0,0.012
"4",0.5,0.051,0.047,0.005
"5",0.282,0.254,0.034,0.023
"6",0.5,0.223,0.013,0.008
"7",0.5,0.129,0.044,0.011
"8",0,0.295,0.055,0.012
"9",0.5,0.05,0.094,0.006
"10",0.491,0.191,0.029,0.006
"11",0.5,0.059,0.029,0.004
"12",0.356,0.171,0.036,0.008
"13",0.345,0.027,0.054,0.001
"14",0.5,0.334,0.049,0.011
"15",0.207,0.16,0.023,0.023
"16",0.5,0.153,0.03,0.005
"17",0.5,0.155,0.001,0
"18",0.365,0.244,0,0.009
"19",0.5,0.053,0.027,0.015
"20",0.4,0.236,0.043,0.001
"21",0.2,0.198,0.025,0.007
"22",0.404,0.032,0.025,0.003
"23",0.487,0.212,0.074,0.015
"24",0.5,0.388,0.036,0.017
"25",0.408,0.254,0.053,0.015
"26",0.5,0.26,0.063,0.006
"27",0,0.131,0.004,0.006
"28",0.5,0.193,0.06,0.008
"29",0.149,0.156,0.026,0.024
"30",0,0.119,0.063,0.016
"31",0.5,0.06,0.025,0.01
"32",0.5,0.099,0.069,0.016
"33",0.067,0.087,0.007,0.006
"34",0.5,0.205,0.017,0.012
"35",0.152,0.114,0.061,0.008
"36",0,0.17,0.05,0.004
"37",0.5,0.256,0.031,0.011
"38",0.5,0.076,0.008,0.012
"39",0,0.178,0.049,0.012
"40",0.15,0.168,0.059,0.012
"41",0.379,0.158,0.029,0.016
"42",0.5,0.044,0.057,0.017
"43",0.5,0.063,0.08,0.011
"44",0.271,0.034,0.054,0.013
"45",0.5,0.067,0.042,0.017
"46",0.319,0.018,0.059,0.002
"47",0.5,0.259,0.044,0.012
"48",0.492,0.248,0.002,0.024
"49",0.356,0.083,0.051,0.008
"50",0.424,0.215,0.016,0.01
"51",0.5,0.085,0.01,0.014
"52",0.5,0.101,0.004,0.004
"53",0.439,0.14,0.075,0.02
"54",0.354,0.059,0.005,0.008
"55",0.338,0.182,0.009,0.015
"56",0.324,0.077,0.072,0.012
"57",0.228,0.254,0.025,0.008
"58",0.5,0.129,0.014,0.009
"59",0.408,0.271,0.047,0.01
"60",0.5,0.425,0.049,0.008
"61",0.431,0.108,0.04,0.013
"62",0.308,0.188,0.015,0.004
"63",0.5,0.12,0.053,0.01
"64",0.46,0.143,0.002,0.014
"65",0.5,0.37,0.031,0.008
"66",0,0.132,0.046,0.014
"67",0.5,0.114,0.066,0.019
"68",0.5,0.155,0.055,0.005
"69",0.074,0.035,0.014,0.011
"70",0.5,0.172,0.011,0.005
"71",0.5,0.208,0.044,0.001
"72",0.231,0.205,0.013,0.009
"73",0.5,0.152,0.012,0.023
"74",0.389,0.132,0.058,0.011
"75",0.49,0.12,0.026,0.011
"76",0.169,0.248,0.049,0.001
"77",0.5,0.145,0.039,0.011
"78",0.5,0.132,0.027,0.015
"79",0.254,0.036,0.072,0.011
"80",0.221,0.148,0.024,0.003
"81",0.5,0.256,0.07,0.019
"82",0.237,0.188,0.058,0
"83",0.446,0.215,0.033,0.011
"84",0.285,0.069,0.035,0.014
"85",0.139,0.113,0.056,0.009
"86",0.5,0.057,0.036,0.017
"87",0.5,0.165,0.013,0.01
"88",0.396,0.217,0.048,0.014
"89",0.422,0.011,0.011,0.015
"90",0.343,0.121,0.017,0.005
"91",0.203,0.161,0.038,0.02
"92",0,0.101,0.055,0
"93",0.148,0.159,0.01,0.001
"94",0.5,0.218,0.044,0.003
"95",0.5,0.206,0.066,0.016
"96",0.5,0.153,0.016,0
"97",0.31,0.124,0.046,0.008
"98",0.434,0.311,0.091,0.012
"99",0.5,0.274,0.027,0.002
"100",0.466,0.304,0.061,0.01
